fulcrum_id,q1_site,q2_district,survey_site,deidentified_village,q6_communities,q7_protected_area,q8_travel_time_muncipal_admin,q9_public_trans_freq,q10_time_dist_headquarter,q11_walk_time_all_weather_road,q12_travel_time_higher_secondary,q13_subcenter_walk_time,q14_phc_travel_time,q15_taluk_hosp,q16_priv_clinic,q17_priv_hospital,q18_regular_electric,q19_solar_supply,q20_avg_pow_sup,q21_drinking_water_yard,q22_no_public_tanks,hand_pump,spring_water,q24_surface,q25_water_collect_time,q26_ro_plant,q27_non_tribal,q28_tribal_population,latitude,longitude
6d59e227-dca8-4a7f-8253-89dd7d24c80c,Kerala,wayanad,Wayanad,WayanadY540,tribal,Outside,5,10,120,5,5,5,5,30,5,30,100,0,24,100,0,,0,0,2,0,0.0,38,11.84436977,76.06496561
fe68b2e4-186e-445b-86ef-392c675f2601,Kerala,wayanad,Wayanad,WayanadQ419,mix,Inside,10,0,120,10,10,10,10,35,10,35,100,0,24,100,1,,100,0,10,0,17.0,19,11.84552481,76.07002258
e68f2565-f0ad-45cd-97db-f52cbc49cd87,Kerala,wayanad,Wayanad,WayanadM786,tribal,Inside,30,22,45,2,30,2,15,45,30,45,100,0,24,100,1,,0,0,5,0,0.0,58,11.94717297,76.06501993
0e2adea6-a9ff-4d4b-a487-1c5dc8ff5a7c,Kerala,wayanad,Wayanad,WayanadP611,mix,Outside,10,0,120,5,10,10,10,30,10,30,100,0,24,10,0,,100,0,5,0,,23,11.8478549,76.054447
2f98d177-2619-45ea-92dd-f1b87503d2c5,Kerala,wayanad,Wayanad,Wayanadb447,mix,Outside,10,2,120,2,10,10,10,30,10,30,100,0,24,0,0,,100,0,15,0,,25,11.84686295,76.05441347
aa40e74c-f918-4326-a123-462c0b9d7faf,Kerala,wayanad,Wayanad,WayanadU327,tribal,Outside,10,2,110,5,10,20,10,20,10,20,99,0,24,0,1,,100,0,5,0,0.0,123,11.84058041,76.04617808
971590f6-e781-4579-8683-6a1a172a424f,Kerala,wayanad,Wayanad,WayanadT426,tribal,Outside,20,2,110,2,20,30,20,30,20,30,100,0,24,100,0,,0,0,2,0,0.0,16,11.84281144,76.04186106
19c61163-a3a5-4627-9053-66dd302fce7e,Kerala,wayanad,Wayanad,WayanadK428,tribal,Outside,15,0,115,10,15,10,15,25,15,25,100,0,24,0,0,,100,0,5,0,0.0,29,11.84343163,76.04566008
2faf14b4-3de1-4002-99fe-6aa2bfb8545f,Kerala,wayanad,Wayanad,WayanadS417,tribal,Outside,40,0,160,10,15,30,15,70,40,70,100,0,24,0,0,,100,0,10,0,0.0,18,11.91870677,76.03499159
4f9d28cc-82d3-4bd6-b68c-98005278cb14,Kerala,wayanad,Wayanad,WayanadJ774,tribal,Outside,40,0,160,10,15,25,15,70,40,70,99,20,24,0,0,,100,0,10,0,0.0,30,11.91811104,76.03594881
f2b734bd-84bf-4f78-bec9-45c8d0895668,Kerala,wayanad,Wayanad,WayanadY836,tribal,Outside,40,0,160,10,40,20,15,70,40,70,100,0,24,0,0,,100,0,0,0,0.0,38,11.91775576,76.03634175
f1ff2f68-4fb8-427f-a76c-cb0d44788681,Kerala,wayanad,Wayanad,Wayanad[233,mix,Outside,30,0,120,5,30,10,15,60,30,60,80,0,24,100,2,,100,0,30,0,0.0,50,11.93383888,76.05108988
12f2d021-10bd-4201-bbee-f5c0017c5174,Kerala,wayanad,Wayanad,WayanadR296,tribal,Inside,45,0,165,5,10,10,20,75,45,75,100,0,12,100,0,,0,0,5,0,0.0,189,11.90214607,76.00509904
48a4fe1e-8b51-4c48-a190-21623093c9b0,Kerala,wayanad,Wayanad,WayanadF409,mix,Outside,40,0,130,15,25,10,45,40,45,40,90,0,24,100,0,,100,0,5,0,5.0,79,11.8592806,76.03082344
8c83e524-3754-46f0-adca-2dbe3d2ef85f,Kerala,wayanad,Wayanad,Wayanad_786,mix,Outside,20,5,140,2,5,15,20,35,20,35,100,0,24,100,0,,100,0,5,0,,74,11.84812397,76.04033422
af9ef7cc-2b2f-4948-8c1e-74afeb0e7473,Kerala,wayanad,Wayanad,WayanadV443,mix,Outside,45,10,120,2,60,30,15,60,30,60,100,0,24,100,1,,100,0,5,0,8.0,69,11.91782662,76.04510218
26d63f4b-ae3e-4fcc-8024-ceff8bb86828,Kerala,wayanad,Wayanad,Wayanadc241,tribal,Outside,30,6,150,5,30,10,20,60,30,60,98,0,24,0,0,,100,0,5,0,0.0,280,11.91547318,76.04821321
ec95fa0e-b640-4342-a119-d4bfd890e597,Kerala,wayanad,Wayanad,Wayanad`661,mix,Outside,45,0,165,15,45,45,60,75,45,75,100,0,24,0,0,,100,0,5,0,9.0,17,11.92573708,76.03242539
cded795d-f541-469f-a818-277ac2df4713,Kerala,wayanad,Wayanad,WayanadA658,tribal,Outside,45,0,165,15,45,20,45,75,45,75,100,0,24,100,1,,0,0,5,0,0.0,67,11.88829698,76.03371888
295576bf-1f25-4554-807c-86ac155f52b0,Kerala,wayanad,Wayanad,WayanadL578,mix,Outside,60,0,75,30,60,45,60,75,60,90,100,0,24,50,1,,50,0,15,0,3.0,27,11.94367009,76.04694083
8c144eca-764a-402f-8980-a026e1c95d3e,Kerala,wayanad,Wayanad,WayanadF426,tribal,Inside,15,5,135,2,15,15,15,45,15,45,100,0,24,0,0,,100,100,15,0,0.0,655,11.88638063,76.07737653
2c3a6813-8373-44f6-a4c6-1c12d80b160b,Kerala,wayanad,Wayanad,WayanadK336,mix,Inside,30,5,150,2,30,30,10,60,30,60,100,0,24,100,0,,100,0,5,0,17.0,152,11.90415056,76.04363032
70dc9bcb-c7cb-4c93-ba08-fd80db40745e,Kerala,wayanad,Wayanad,WayanadL402,tribal,Outside,25,0,145,10,25,25,25,55,25,55,20,0,0,0,0,,100,0,15,0,0.0,16,11.8564978,76.0537342
ce7839da-e519-464b-af18-25e7ca35b930,Kerala,wayanad,Wayanad,WayanadO656,tribal,Inside,50,0,170,20,50,30,30,80,50,80,100,0,24,50,1,,100,0,30,0,0.0,128,11.91115795,76.04484301
a991e04a-a8f7-4ff4-838b-575634e5cae8,Kerala,wayanad,Wayanad,WayanadW611,mix,Outside,30,0,150,10,15,5,30,45,35,45,100,0,0,100,1,,100,0,5,0,5.0,121,11.84929934,76.02508955
